; Column layout:
; SIZE  =IPv4= <IPv4 protocols> =IPv6= <native IPv6 protocols> =IPv6t= <tunneled IPv6 protocols>
; First column (SIZE) is packet size in bytes
; Column =IPv4= is total number of IPv4 packets for each packet size
; Subsequent columns (upto =IPv6= or =IPv6t= or end of line, whichever
; comes first) give the number of IPv4 packets for the indicated protocol
; Column =IPv6= is total number of native IPv6 packets for each packet size
; Subsequent columns (upto =IPv6t= or end of line) give the number of IPv6
; packets for the indicated protocol
; Column =IPv6t= is total number of tunneled IPv4-over-IPv6 packets
; Subsequent columns give the number of tunneled IPv6 packets for the
; the indicated protocol
;
; First timestamp: 1459947552.407658674
; Last timestamp: 1459951362.403493777
; Total number of packets: 1811152408
; Total number of IPv4 packets: 1755133537
; Total number of native IPv6 packets: 56018871
; Total number of tunneled IPv6 packets: 1523
; IPv6 native fragments: 261
;
SIZE     =IPv4=       SCTP       IPv6        ESP        UDP        GRE       ICMP        TCP    UNKNOWN     =IPv6=      ICMP6        UDP        TCP    =IPv6t=      ICMP6        UDP        TCP
         85    4509770          0          0          0     197918         11        246    4311595          0       5809          0       2908       2901          1          0          0          1
         86     720219          0          0          0     249444          9      18611     452155          0       5726          0       3103       2623          0          0          0          0
         87   21036988          0          1          0     169997        227        779   20865984          0       7959          0       5394       2565          0          0          0          0
         88    1080482          0         16       1322     204647        810      19676     854011          0      10375        560       5797       4018          0          0          0          0
         89    8581273          0          0          0     173747        184       4234    8403108          0       8976          0       7383       1593          0          0          0          0
         90    1286463          0          0          0     578238        132      23855     684238          0      17146          0      13120       4026          0          0          0          0
         91    1457898          0          0          0     217366          1       3258    1237273          0      13540          0       8820       4720          1          0          0          1
         92     967974          0         88        176     498395        108      42021     427186          0      34113          1       8348      25764          0          0          0          0
         93    7522254          0          0          0     158136        552       5196    7358370          0      10220          0       8736       1484          1          0          0          1
         94    4157709          0          0          0     193014        374      23229    3941092          0      10584          0       7558       3026          1          0          0          1
         95     432904          0          0          0     161842         11       3693     267358          0      14959          0      13574       1385          0          0          0          0
         96    1813262          0          2     389868     212402         79      65194    1145714          3      23685        196       7853      15636          0          0          0          0
         97    2756064          0          0          0     124566        196       3310    2627992          0      10134          0       4284       5850          0          0          0          0
         98     872207          0        116          0      95702         86      23374     752929          0      15055          0       4186      10869          3          0          3          0
         99    1135190          0          1          0      77867         42      20515    1036765          0       6667          0       4910       1757          0          0          0          0
        100     678964          0          2          0     216645         55      24882     437380          0      56704         22       3434      53248          0          0          0          0
        101     340122          0          0          0      86707         62      12811     240542          0       8074          0       4681       3393          5          0          3          2
        102     298495          0          0          0     114325       1521      23317     159332          0      12850          0       5909       6941          0          0          0          0
        103    3541140          0          0          0      69618        710      12336    3458476          0      18257          0      12181       6076          0          0          0          0
        104     745859          0        132     196663     153166       1455      26275     368149         19      25117       7231      16625       1261          1          0          0          1
        105    1956334          0          1          0     996026        451      15953     943903          0      39835          0      37928       1907          0          0          0          0
        106     240433          0          0          0     105273        103       1433     133624          0      95479          0      74301      21178          0          0          0          0
        107    1328236          0          0          0      98358        152        339    1229387          0      49498          0      48239       1259          0          0          0          0
        108     980544          0          0        924     606804         64       7289     365461          2      19397        175      18206       1016          1          0          0          1
        109     599015          0          0          0      65850        103        374     532688          0      63065          0      56759       6306          0          0          0          0
        110     280007          0          0          0      92286        166       1353     186202          0     189571          0     178140      11431          1          0          0          1
        111    1314791          0          1          0      74644         38      41121    1198987          0      77360          0      67372       9988          3          0          3          0
        112    1336494          0          0      60166     668549        130      44883     562766          0       5396        223       3748       1425          3          0          3          0
        113    3204814          0          1          0    2823930        131        221     380531          0      58918          0      48641      10277          1          0          1          0
        114     180861          0          1          0      66399         36        478     113947          0      74390          0      42944      31446          0          0          0          0
        115     690278          0          0          0      70389         64        160     619665          0       8971          0       7186       1785          1          0          1          0
        116     665409          0          0          0     448808        206      20505     195886          4      36834         56      35036       1742          0          0          0          0
        117     366836          0          0          0      92476         33      13999     260328          0      10874          0        682      10192          7          0          6          1
        118     362049          0          3          0     151629         42        272     210103          0       7055          0       1165       5890          0          0          0          0
        119     194800          0          0          0     116657         44         75      78024          0       3926          0        849       3077          0          0          0          0
        120    1048927          0          0     442389     274973         30        557     330933         45       2939        558       1112       1269          0          0          0          0
        121    2638409          0          5          0    2012635         13       2319     623437          0       3691          0        927       2764          0          0          0          0
